epoch,dendrites_acc,dendrites_iou_score,dendrites_loss,loss,spines_acc,spines_iou_score,spines_loss,val_dendrites_acc,val_dendrites_iou_score,val_dendrites_loss,val_loss,val_spines_acc,val_spines_iou_score,val_spines_loss
0,0.9322758913040161,0.6117333769798279,0.2608424723148346,0.28260254859924316,0.9519721269607544,0.3055190145969391,0.021759821102023125,0.9358819127082825,0.5974242091178894,0.2523583173751831,0.27740585803985596,0.938315749168396,0.39004889130592346,0.025047466158866882
1,0.945194661617279,0.788859486579895,0.11892819404602051,0.12953238189220428,0.9550101161003113,0.518324077129364,0.010604317300021648,0.936146080493927,0.6154099106788635,0.2384117990732193,0.2649800181388855,0.9388547539710999,0.422087162733078,0.02656794711947441
2,0.9460418224334717,0.817348062992096,0.10129940509796143,0.11030169576406479,0.9556518793106079,0.598403811454773,0.009002488106489182,0.9361563920974731,0.6120089292526245,0.2410230189561844,0.26794135570526123,0.9392690062522888,0.43585994839668274,0.02691836468875408
3,0.9463405013084412,0.8261978030204773,0.09599009901285172,0.10430986434221268,0.9559770822525024,0.6375175714492798,0.008319701999425888,0.9356455206871033,0.6038041114807129,0.2473495602607727,0.27452486753463745,0.9392487406730652,0.44167378544807434,0.02717517875134945
4,0.9465556144714355,0.8325874209403992,0.0922192931175232,0.10009832680225372,0.9561999440193176,0.6623454689979553,0.007879008539021015,0.9364681243896484,0.6112561821937561,0.24162501096725464,0.2683711647987366,0.939012348651886,0.4591993987560272,0.026746103540062904
5,0.9466994404792786,0.8383697867393494,0.08878985047340393,0.09627015143632889,0.9563596248626709,0.682219922542572,0.007480346132069826,0.9349557757377625,0.6143203973770142,0.2392473965883255,0.26723113656044006,0.9396033883094788,0.44710713624954224,0.027983887121081352
6,0.9467936158180237,0.8400213122367859,0.08777850866317749,0.09510740637779236,0.9564690589904785,0.6920369863510132,0.0073290420696139336,0.9362287521362305,0.6085020899772644,0.24371476471424103,0.27090761065483093,0.9389123320579529,0.46394845843315125,0.02719285525381565
7,0.9468729496002197,0.8417961597442627,0.08676008880138397,0.0938977599143982,0.9565662741661072,0.7013975977897644,0.007137773558497429,0.9352861046791077,0.6103029251098633,0.24229389429092407,0.26958778500556946,0.9386059641838074,0.43458089232444763,0.027293814346194267
8,0.9469650387763977,0.8432888984680176,0.08594327419996262,0.09297770261764526,0.9566586017608643,0.7075009346008301,0.0070344326086342335,0.9365231394767761,0.6022241711616516,0.2486003190279007,0.27588722109794617,0.939279317855835,0.4696793556213379,0.027286935597658157
9,0.9470157027244568,0.8473624587059021,0.08347166329622269,0.09036440402269363,0.9566962122917175,0.713083028793335,0.006892708130180836,0.9350165724754333,0.6045606136322021,0.2467452436685562,0.27364304661750793,0.938654899597168,0.46138450503349304,0.026897624135017395
10,0.9470945000648499,0.8487365245819092,0.08264759182929993,0.08939182013273239,0.9567584991455078,0.718881368637085,0.0067442795261740685,0.9354617595672607,0.6033856868743896,0.24769996106624603,0.27524957060813904,0.938726007938385,0.45161280035972595,0.027549615129828453
11,0.947141706943512,0.8528146147727966,0.08023077994585037,0.08681295812129974,0.9568068981170654,0.7252627015113831,0.006582075729966164,0.936998188495636,0.6091799736022949,0.2432057410478592,0.2706674337387085,0.9392147660255432,0.4688733220100403,0.027461474761366844
12,0.947177529335022,0.8549295663833618,0.07899925112724304,0.08549847453832626,0.9568398594856262,0.7290449142456055,0.006499175913631916,0.9370236992835999,0.6043189167976379,0.24702735245227814,0.2744348645210266,0.9396213889122009,0.4630708694458008,0.027407508343458176
