epoch,dendrites_acc,dendrites_iou_score,dendrites_loss,loss,spines_acc,spines_iou_score,spines_loss,val_dendrites_acc,val_dendrites_iou_score,val_dendrites_loss,val_loss,val_spines_acc,val_spines_iou_score,val_spines_loss
0,0.9298569560050964,0.584219753742218,0.278812050819397,0.30575746297836304,0.9444992542266846,0.2882463335990906,0.026945458725094795,0.9354529976844788,0.5922956466674805,0.25669121742248535,0.27894362807273865,0.9430974721908569,0.36445772647857666,0.022252602502703667
1,0.9429316520690918,0.7509831786155701,0.14308704435825348,0.15667077898979187,0.9480990171432495,0.48587462306022644,0.013583537191152573,0.9343397617340088,0.6350311040878296,0.22372157871723175,0.24554677307605743,0.9417476058006287,0.42978373169898987,0.021825021132826805
2,0.9441559314727783,0.7873643636703491,0.11977431178092957,0.13106824457645416,0.9490417242050171,0.5691640973091125,0.011293862015008926,0.935481607913971,0.622174859046936,0.23345640301704407,0.25684982538223267,0.9438303709030151,0.41883546113967896,0.02339356578886509
3,0.9446448683738708,0.8023197054862976,0.11048159748315811,0.1207999661564827,0.9495028257369995,0.6122305393218994,0.01031828485429287,0.9340360164642334,0.6376728415489197,0.22176741063594818,0.24554845690727234,0.9424603581428528,0.4538174569606781,0.02378089539706707
4,0.9449530839920044,0.8122881650924683,0.10437259078025818,0.11403270810842514,0.9498060345649719,0.641221821308136,0.009660148993134499,0.9332678914070129,0.6457940936088562,0.2156372219324112,0.23903368413448334,0.9406565427780151,0.4796862006187439,0.023396410048007965
5,0.9451740980148315,0.819132924079895,0.10026942193508148,0.10950779914855957,0.9500217437744141,0.6601954102516174,0.009238410741090775,0.9346427321434021,0.6343504786491394,0.22420571744441986,0.24773411452770233,0.9411932229995728,0.4735998213291168,0.02352849766612053
6,0.9452866911888123,0.8218620419502258,0.09858634322881699,0.10761246085166931,0.9501626491546631,0.6706985831260681,0.009025976993143559,0.935534656047821,0.6260021924972534,0.23050405085086823,0.25463148951530457,0.9422670602798462,0.4699215590953827,0.024127323180437088
7,0.9454154968261719,0.8240578174591064,0.09730103611946106,0.10615269839763641,0.9502917528152466,0.6783635020256042,0.008851690217852592,0.934947669506073,0.6405438184738159,0.2195279896259308,0.24274246394634247,0.941265881061554,0.49272021651268005,0.02321428433060646
8,0.9455255270004272,0.8266152739524841,0.09582318365573883,0.10444854944944382,0.9504210948944092,0.6866475343704224,0.008625437505543232,0.9353958368301392,0.6356927752494812,0.2232043594121933,0.24676047265529633,0.9419962167739868,0.48353707790374756,0.023555709049105644
9,0.9456056952476501,0.8310915231704712,0.09306109696626663,0.10151886194944382,0.950471043586731,0.6926246285438538,0.008457913063466549,0.9343646764755249,0.65067058801651,0.21203427016735077,0.2355099767446518,0.9403194785118103,0.4591938257217407,0.02347566932439804
10,0.9456906914710999,0.8339588046073914,0.0913252905011177,0.0995965227484703,0.9505504369735718,0.6989818811416626,0.008271208964288235,0.9348242282867432,0.6387077569961548,0.22100090980529785,0.2453746348619461,0.9412053823471069,0.4573148190975189,0.024373766034841537
11,0.9457641839981079,0.837368905544281,0.08930586278438568,0.09737782180309296,0.9506186246871948,0.7053709030151367,0.00807187706232071,0.9353156089782715,0.6304836869239807,0.2271508276462555,0.2515408396720886,0.9420939087867737,0.4868241846561432,0.024389687925577164
12,0.945828378200531,0.8404859304428101,0.08745145797729492,0.09539785236120224,0.9506562352180481,0.7099086046218872,0.00794628169387579,0.9344959259033203,0.6400087475776672,0.21998099982738495,0.2439827173948288,0.9423047304153442,0.4863832890987396,0.024001464247703552
13,0.9458696842193604,0.8373290300369263,0.08938410878181458,0.09746087342500687,0.9506927132606506,0.7066103219985962,0.008076753467321396,0.9348932504653931,0.6298419237136841,0.22764112055301666,0.25189855694770813,0.9422672986984253,0.48524394631385803,0.02425742708146572
14,0.9458947777748108,0.8410405516624451,0.08715527504682541,0.09507303684949875,0.9507337808609009,0.7115011811256409,0.007917717099189758,0.9347370862960815,0.6455602645874023,0.2158392369747162,0.24056661128997803,0.9412813782691956,0.4405648112297058,0.02472749724984169
